country_of_origin,region,altitude,company
Ethiopia,guji-hambela,1950-2200,metad agricultural developmet plc
Ethiopia,oromia,1800-2200,yidnekachew debessa coffee plantation
Brazil,,,
Peru,,,richmond investment-coffee department
Ethiopia,oromia,1570-1700,
Ethiopia,oromiya,1570-1700,
Ethiopia,"snnp/kaffa zone,gimbowereda",1795-1850,diamond enterprise plc
Ethiopia,oromia,1855-1955,fahem coffee plantation
United States,antioquia,meters above sea level: 1.872,coffee quality institute
United States,antioquia,meters above sea level: 1.943,coffee quality institute
United States (Hawaii),kona,2000 ft,
United States,antioquia,meters above sea level: 2.080,coffee quality institute
Ethiopia,yirgacheffe,,
China,yunnan,1450,yunnan coffee exchange
Ethiopia,gedio,1700-2000m,essence coffee
United States,antioquia,meters above sea level: 2.019,coffee quality institute
Costa Rica,san ramon,1300 msnm,the coffee source inc.
Mexico,xalapa,1320,
United States,antioquia,meters above sea level: 2.112,coffee quality institute
Ethiopia,sidamo,,
Brazil,south of minas,1250m,nucoffee
Uganda,kapchorwa eastern,1950,kabum trading company
Honduras,comayagua,1400,cigrah s.a de c.v
Taiwan,"leye, alishan township, chiayi county",1200,taiwan coffee laboratory
"Tanzania, United Republic Of",,,
Brazil,vale da grama,1300,nucoffee
Costa Rica,west and central valley,1300,exclusive coffees s.a.
Ethiopia,oromia,1750-1800,haider abamecha coffee export
Kenya,muranga,1800,c dorman ltd
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,
United States,antioquia,meters above sea level: 1.941,coffee quality institute
Thailand,chiang rai,1300,lanna cafe
Brazil,sul de minas - carmo de minas,1.2,
Taiwan,natou county,1000 m,taiwan coffee laboratory
Kenya,nyeri,1754,keremara limited
Uganda,eastern uganda,,ucda
Colombia,tolima,900-1500m,lusso coffee lab
Kenya,kiambu,1520m-2200m,lusso coffee lab
Uganda,"sipi, mt elgon",1400-1900m,kawacom uganda ltd
Ethiopia,sidamo,1500-2000 m,
United States (Hawaii),kona,1400ft,
Guatemala,nuevo oriente,,"unex guatemala, s.a."
Uganda,eastern,1400-1900,kawacom uganda ltd
Colombia,huila,1800 msnm,exportadora de cafe condor s.a
Panama,boquete,1600,ce specialty s.a.
Ethiopia,oromia,1800-2000,ibrahim hussien specality coffee product & exporter
Guatemala,acatenango,5000,sertrasa
Guatemala,nuevo oriente,4650,unicafe
Ethiopia,addis ababa,,seid damtew coffee planation
Peru,cajamarca,,sustainable harvest
Papua New Guinea,eastern highlands province,1700 mts,cqi
El Salvador,apaneca,1500 meters,atlantic specialty coffee
El Salvador,"ataco, apaneca - ilamatepec mountain range",1300~1400 m.s.l,lusso coffee lab
Panama,boquete,1680,essence coffee
Kenya,kirinyaga,1900m,essence coffee
Ethiopia,oromia,1800-2000,assefa belay coffee producer
Uganda,bulambuli eastern region,1600,kyagalanyi coffee ltd
Guatemala,huehuetenango,5600-5760 metros,exportcafe
Uganda,kapchorwa,1950,great lakes coffee
El Salvador,apaneca,1400 m,
China,yunnan,1700,yunnan coffee exchange
Guatemala,huehuetenango,1770,essence coffee
Costa Rica,west valley,1300,the coffee source inc.
Kenya,central kenya,above 1600 m,rashid moledina & co. (msa) ltd
Kenya,central kenya,above 1200 m,ibero kenya limited
Guatemala,oriente,,"unex guatemala, s.a."
