country_of_origin,region,altitude,company
Brazil,south of minas,905,ipanema coffees
Brazil,sul de minas,1250,exportadora de cafés carmo de minas ltda
Brazil,mountains of minas gerais,1100m,nucoffee
Brazil,vale da grama,1300m,nucoffee
Brazil,cerrado,11000 metros,expocaccer
Brazil,cerrado,900,cafebras comercio de cafés do brasil sa
Brazil,south of minas,1000 m,nucoffee
Brazil,south of minas,1200m,nucoffee
Brazil,monte carmelo,,volcafe ltda.
Brazil,high mogiana,900-1100,atlantica eportacao e importcao ltda
Brazil,grama valley,1100m,nucoffee
Brazil,south of minas,,volcafe ltda.
Brazil,south of minas,900-1050m,
Brazil,south of minas,,nucoffee
Brazil,cerrado,982,olam
Brazil,cerrado,,volcafe ltda.
Brazil,south of minas,1268,ipanema coffees
Brazil,south of minas,1100,ipanema coffees
Brazil,south of minas,950m,nucoffee
Brazil,monte carmelo,,bourbon specialty coffees
Brazil,,,nucoffee
Brazil,south of minas,872,ipanema coffees
Brazil,chapadão de ferro (cerrado mineiro),,bourbon specialty coffees
Brazil,south of minas,1200,ipanema coffees
Brazil,south of minas,1,ipanema coffees
Brazil,south of minas,934,ipanema coffees
Brazil,south of minas,890,ipanema coffees
Brazil,south of minas,1100m,nucoffee
Brazil,south of minas,1260,ipanema coffees
Brazil,vale da grama,,bourbon specialty coffees
Brazil,"minas gerais, br",894m - 1183m,café do paraíso
Brazil,south of minas,894,ipanema coffees
Brazil,south of minas,1227,ipanema coffees
Brazil,campos altos - cerrado,,bourbon specialty coffees
Brazil,,,green mountain coffee
Brazil,grama valley,1200m,nucoffee
Brazil,south of minas,900-1200m,
Brazil,vale da grama,1200m to 1350m,
Brazil,south of minas,1000m,nucoffee
Brazil,mogiana,950m,nucoffee
Brazil,south of minas,900m,
Brazil,cerrado,1150,cafebras comercio de cafés do brasil sa
Brazil,cerrado,,bourbon specialty coffees
Brazil,carmo de minas,1.250 m,exportadora de cafés carmo de minas ltda
Brazil,sul de minas,1200,exportadora de cafés carmo de minas ltda
Brazil,cerrado - monte carmelo - minas gerais,995,volcafe ltda.
Brazil,,,cafe politico
Brazil,cerrado,900-950m,
Brazil,grama valley,,bourbon specialty coffees
Brazil,mantiqueira de minas,1250,exportadora de cafés carmo de minas ltda
Brazil,vale da grama,1250 m,bourbon specialty coffees
Brazil,mantiqueira de minas,1200,exportadora de cafés carmo de minas ltda
Brazil,monte carmelo,973,volcafe ltda.
Brazil,vale da grama,1300,nucoffee
Brazil,south of minas,1250m,nucoffee
Brazil,sul de minas - carmo de minas,1.2,
Brazil,alta paulista (sao paulo),695,garca armazens
Brazil,,,
Brazil,mantiqueira de minas,1100,carmo coffees
Brazil,monte carmelo,1020,volcafe ltda.
Brazil,sul de minas,1.25,exportadora de cafés carmo de minas ltda
Brazil,cerrado,1100,cafebras comercio de cafés do brasil sa
Brazil,cerrado,1050m,nucoffee
Brazil,south of minas,944,ipanema coffees
Burundi,mumirwa,1700,sangana commodities k limited
Burundi,kayanza,1880,the specialty coffee appraisers institute of asia
China,yunnan,above 1100m,"puer jiangcheng fuwang coffee biotechnology co., ltd"
China,menglian,1500,yunnan coffee exchange
China,yunnan,1200 meters,greenhouse coffee china
China,yunnan,1400,yunnan coffee exchange
China,yunnan,1450,yunnan coffee exchange
China,yunnan,1200,yunnan coffee exchange
China,dehong prefecture,1600,yunnan coffee exchange
China,yunnan,1650,yunnan coffee exchange
China,xishuangbanna prefecture,1580,yunnan coffee exchange
China,yunnan,1700,yunnan new century tech inc.
