country,restaurant_name,sentiment,review_title,review_date,review,cleaned_review,word_overlap,sentiment_consistency,attention_grabbing,combined_text,vader_sentiment,vader_sentiment_label,cluster
France,The Frog at Bercy Village,Negative,Rude manager,May 2024 •,The manager became agressive when I said the carbonara was not good. She was rude. It was  a very bad experience. The worst in Rome in many years.,manager became agressive said carbonara good rude bad experience worst rome many year,0.5,1,0,Rude manager The manager became agressive when I said the carbonara was not good. She was rude. It was  a very bad experience. The worst in Rome in many years.,-0.946,Negative,3
France,The Frog at Bercy Village,Negative,A big disappointment,Feb 2024 •,"I ordered a beef fillet ask to be done medium, I got it well done cooked and very dry, when I told them they took the steak and after 20 minutes they brought me another steak that was completely rare, I left all the steak , and they asked me about it but charged me the fool price.",ordered beef fillet ask done medium got well done cooked dry told took steak minute brought another steak completely rare left steak asked charged fool price,0.0,1,0,"A big disappointment I ordered a beef fillet ask to be done medium, I got it well done cooked and very dry, when I told them they took the steak and after 20 minutes they brought me another steak that was completely rare, I left all the steak , and they asked me about it but charged me the fool price.",-0.7684,Negative,3
France,The Frog at Bercy Village,Negative,Pretty Place with Bland Food,Nov 2023 •,"This is an attractive venue with welcoming, albeit but somewhat slow service. The offerings are pleasingly presented but most everything has no taste. It was as though ingredients were just assembled without seasoning: a lovely restaurant, except for the food.",attractive venue welcoming albeit somewhat slow service offering pleasingly presented everything taste though ingredient assembled without seasoning lovely restaurant except food,0.0,1,0,"Pretty Place with Bland Food This is an attractive venue with welcoming, albeit but somewhat slow service. The offerings are pleasingly presented but most everything has no taste. It was as though ingredients were just assembled without seasoning: a lovely restaurant, except for the food.",-0.5112,Negative,0
France,The Frog at Bercy Village,Negative,Great service and wine but inedible food,Mar 2023 •,"Sadly I  used the high TripAdvisor rating too literally. We have been fortunate to eat at a number of fine restaurants so  know that amazing buzz from  a mouthful of fine freshly cooked food from a great chef.
Never before have we eaten a tasting menu and never will we again.
Ad Hoc has a great ambience with attentive friendly service and all the paired wines were exceptional.
Maybe we hit a night when the chef was off but every single course of food was certainly not freshly cooked and , as we passed the kitchen on the way to the bathroom, noticed plates of  precooked food ready to go on the tasting menu plates. If it had been the odd dish that disappointed, we would have accepted that it might have just been our palates not liking it. As it was every plate of food was not hot, bland, lacking any spark and had probably been sitting around for a while.l
All the serving staff were great as was the wine but I failed to finish any plate offered. 
The tasting menu looked good value but a simple bowl of hot freshly cooked pasta would have done better justice to the wine.
When asked ,I admitted , with that great English understatement, that I had been disappointed. I found 17 euros had been deducted from the 190 euro bill so it was nice that they noticed.
Probably best to avoid the tasting menus and enjoy their great wine selection with some pasta and maybe cheese course.

I feel responsible that I made a poor choice not realizing that this is a place geared for tourists. 
An expensive mistake.",sadly used high tripadvisor rating literally fortunate eat number fine restaurant know amazing buzz mouthful fine freshly cooked food great chef never eaten tasting menu never ad hoc great ambience attentive friendly service paired wine exceptional maybe hit night chef every single course food certainly freshly cooked passed kitchen way bathroom noticed plate precooked food ready go tasting menu plate odd dish disappointed would accepted might palate liking every plate food hot bland lacking spark probably sitting around serving staff great wine failed finish plate offered tasting menu looked good value simple bowl hot freshly cooked pasta would done better justice wine asked admitted great english understatement disappointed found euro deducted euro bill nice noticed probably best avoid tasting menu enjoy great wine selection pasta maybe cheese course feel responsible made poor choice realizing place geared tourist expensive mistake,0.42857142857142855,1,0,"Great service and wine but inedible food Sadly I  used the high TripAdvisor rating too literally. We have been fortunate to eat at a number of fine restaurants so  know that amazing buzz from  a mouthful of fine freshly cooked food from a great chef.
Never before have we eaten a tasting menu and never will we again.
Ad Hoc has a great ambience with attentive friendly service and all the paired wines were exceptional.
Maybe we hit a night when the chef was off but every single course of food was certainly not freshly cooked and , as we passed the kitchen on the way to the bathroom, noticed plates of  precooked food ready to go on the tasting menu plates. If it had been the odd dish that disappointed, we would have accepted that it might have just been our palates not liking it. As it was every plate of food was not hot, bland, lacking any spark and had probably been sitting around for a while.l
All the serving staff were great as was the wine but I failed to finish any plate offered. 
The tasting menu looked good value but a simple bowl of hot freshly cooked pasta would have done better justice to the wine.
When asked ,I admitted , with that great English understatement, that I had been disappointed. I found 17 euros had been deducted from the 190 euro bill so it was nice that they noticed.
Probably best to avoid the tasting menus and enjoy their great wine selection with some pasta and maybe cheese course.

I feel responsible that I made a poor choice not realizing that this is a place geared for tourists. 
An expensive mistake.",0.9967,Positive,4
France,The Frog at Bercy Village,Negative,Avoid- Worst meal in Rome - possibly ever,Nov 2022 •,"From the start this meal was bad- especially given the price. We visited for my husbands birthday after being recommended by our local hotel. The lady in charge appeared at our table as we arrived to basically up-sell the truffle menu. Plonked some truffles on the table and then with no explanation of how they would enhance the dishes gave us a rehearsed speech which she proceeded to repeat word for word at every single table. If the food had been good we could have forgiven this but it wasn’t. The best parts were the bland bits as at least they were inoffensive - nothing was seasoned and sauces were completely tasteless with strange and weird combinations. But the worst part of the meal was my husbands inedible medallions of ‘lamb’ dish. This was made up of a tiny amount of lamb gristle and fat wrapped around some mushy stuff we couldn’t identify. Fillet of beef was sort of well cooked (frankly hard to get wrong) but served with exactly the same sauce as the lamb, some reconstituted mash in strange tube shapes and tasteless, watery spinach. We asked for wine recommendations. The wines were ok but we weren’t told what they were, they weren’t explained to us (I had to ask what mine was and was told it was ‘local’) and we weren’t offered any to try. With so much choice nearby and so many better (and much cheaper options) I’d avoid.",start meal especially given price visited husband birthday recommended local hotel lady charge appeared table arrived basically truffle menu plonked truffle table explanation would enhance dish gave u rehearsed speech proceeded repeat word word every single table food good could forgiven best part bland bit least inoffensive nothing seasoned sauce completely tasteless strange weird combination worst part meal husband inedible medallion lamb dish made tiny amount lamb gristle fat wrapped around mushy stuff identify fillet beef sort well cooked frankly hard get wrong served exactly sauce lamb reconstituted mash strange tube shape tasteless watery spinach asked wine recommendation wine ok told explained u ask mine told local offered try much choice nearby many better much cheaper option avoid,0.125,0,0,"Avoid- Worst meal in Rome - possibly ever From the start this meal was bad- especially given the price. We visited for my husbands birthday after being recommended by our local hotel. The lady in charge appeared at our table as we arrived to basically up-sell the truffle menu. Plonked some truffles on the table and then with no explanation of how they would enhance the dishes gave us a rehearsed speech which she proceeded to repeat word for word at every single table. If the food had been good we could have forgiven this but it wasn’t. The best parts were the bland bits as at least they were inoffensive - nothing was seasoned and sauces were completely tasteless with strange and weird combinations. But the worst part of the meal was my husbands inedible medallions of ‘lamb’ dish. This was made up of a tiny amount of lamb gristle and fat wrapped around some mushy stuff we couldn’t identify. Fillet of beef was sort of well cooked (frankly hard to get wrong) but served with exactly the same sauce as the lamb, some reconstituted mash in strange tube shapes and tasteless, watery spinach. We asked for wine recommendations. The wines were ok but we weren’t told what they were, they weren’t explained to us (I had to ask what mine was and was told it was ‘local’) and we weren’t offered any to try. With so much choice nearby and so many better (and much cheaper options) I’d avoid.",-0.4701,Negative,4
France,The Frog at Bercy Village,Negative,"Shocking management, TERRIBLE service by mum and daughter!! FOR Tourist ONLY!!",Jul 2021 •,"We visited this restaurant on Saturday night and we had the most disappointing service and food experience ever. It was my partner's bday celebration weekend. 

The restaurant is run by a blonde Manager and her daughter wich had the most terrible attitude, they both made sure we will never be back there.
We were sitting at the table near the window but the ac was off and outside about 35 degrees. Halfway through our meal (truffle tasting menu with wine pairing), we asked to move anywhere else because it was too warm there.
The young waitress (the daughter) asked the manager (her mum) to move us, but she replies a very sharp NO!!!!! Also, a dog pooped just in front of us, on the pedestrian side, but apparently, according to the same waitress, that was nothing that concerned the restaurant. Anyhow now not only was it crazy hot but with a nice poo view too.
So we could not move anywhere even though the restaurant was empty, for no reason. Asked to talk to her mum (The Manager) she never touches the table or acknowledges us. How can you deny to a couple with 230 euro bills to move to another table when your restaurant is empty? 
Finally, a gem of a waitress with curly hair approached the table and moved us to another spot, where we spent the rest of the evening in confinement because as I said one side of the restaurant was empty for the whole night.
I have been managing restaurants for my whole life, and I never gave such an awful service and attitude to my guests.

The tempo of service completely wrong, food was getting to our table way earlier than wine.
The wine was poured into the glasses and set in the station for about 20 minutes before being served, subjected to the bacterias and dust since everyone was passing by.

Food was good but if you are used to first-class and fine dining service keep out from this place!",visited restaurant saturday night disappointing service food experience ever partner bday celebration weekend restaurant run blonde manager daughter wich terrible attitude made sure never back sitting table near window ac outside degree halfway meal truffle tasting menu wine pairing asked move anywhere else warm young waitress daughter asked manager mum move u reply sharp also dog pooped front u pedestrian side apparently according waitress nothing concerned restaurant anyhow crazy hot nice poo view could move anywhere even though restaurant empty reason asked talk mum manager never touch table acknowledges u deny couple euro bill move another table restaurant empty finally gem waitress curly hair approached table moved u another spot spent rest evening confinement said one side restaurant empty whole night managing restaurant whole life never gave awful service attitude guest tempo service completely wrong food getting table way earlier wine wine poured glass set station minute served subjected bacteria dust since everyone passing food good used fine dining service keep place,0.18181818181818182,1,0,"Shocking management, TERRIBLE service by mum and daughter!! FOR Tourist ONLY!! We visited this restaurant on Saturday night and we had the most disappointing service and food experience ever. It was my partner's bday celebration weekend. 

The restaurant is run by a blonde Manager and her daughter wich had the most terrible attitude, they both made sure we will never be back there.
We were sitting at the table near the window but the ac was off and outside about 35 degrees. Halfway through our meal (truffle tasting menu with wine pairing), we asked to move anywhere else because it was too warm there.
The young waitress (the daughter) asked the manager (her mum) to move us, but she replies a very sharp NO!!!!! Also, a dog pooped just in front of us, on the pedestrian side, but apparently, according to the same waitress, that was nothing that concerned the restaurant. Anyhow now not only was it crazy hot but with a nice poo view too.
So we could not move anywhere even though the restaurant was empty, for no reason. Asked to talk to her mum (The Manager) she never touches the table or acknowledges us. How can you deny to a couple with 230 euro bills to move to another table when your restaurant is empty? 
Finally, a gem of a waitress with curly hair approached the table and moved us to another spot, where we spent the rest of the evening in confinement because as I said one side of the restaurant was empty for the whole night.
I have been managing restaurants for my whole life, and I never gave such an awful service and attitude to my guests.

The tempo of service completely wrong, food was getting to our table way earlier than wine.
The wine was poured into the glasses and set in the station for about 20 minutes before being served, subjected to the bacterias and dust since everyone was passing by.

Food was good but if you are used to first-class and fine dining service keep out from this place!",-0.9602,Negative,3
France,The Frog at Bercy Village,Negative,We tired the tasting menu - avoid,Jan 2020 •,"We tired the tasting menu with wine pairing. The food was not interesting, not very tasty and overall wasted time and money. I would not come back and I would not recommend it",tired tasting menu wine pairing food interesting tasty overall wasted time money would come back would recommend,0.42857142857142855,1,1,"We tired the tasting menu - avoid We tired the tasting menu with wine pairing. The food was not interesting, not very tasty and overall wasted time and money. I would not come back and I would not recommend it",-0.9269,Negative,4
France,The Frog at Bercy Village,Negative,Huge Disappointment,Oct 2019 •,"This restaurant’s high rating is wholly unwarranted.  We were looking forward to Ad Hoc’s truffle menu this week with white truffles in season and left sorely disappointed.  The food was flavorless, served cold, and overpriced to boot.  It seemed as if the dishes had been made in advance and reheated.  The truffles inferior in quality and taste.  We dined at other restaurants in Rome the same week that served far more flavorful truffles at a much lower price, so recognize the difference!  The service was slow and disjointed.  The only thing that checked out were the wine pairings, which were fine.  Do yourself a favor and look elsewhere.",restaurant high rating wholly unwarranted looking forward ad hoc truffle menu week white truffle season left sorely disappointed food flavorless served cold overpriced boot seemed dish made advance reheated truffle inferior quality taste dined restaurant rome week served far flavorful truffle much lower price recognize difference service slow disjointed thing checked wine pairing fine favor look elsewhere,0.0,1,0,"Huge Disappointment This restaurant’s high rating is wholly unwarranted.  We were looking forward to Ad Hoc’s truffle menu this week with white truffles in season and left sorely disappointed.  The food was flavorless, served cold, and overpriced to boot.  It seemed as if the dishes had been made in advance and reheated.  The truffles inferior in quality and taste.  We dined at other restaurants in Rome the same week that served far more flavorful truffles at a much lower price, so recognize the difference!  The service was slow and disjointed.  The only thing that checked out were the wine pairings, which were fine.  Do yourself a favor and look elsewhere.",-0.7959,Negative,4
France,The Frog at Bercy Village,Negative,Expensive mediocre food and service,Jun 2019 •,"We got the Tasting Menu and wine pairing. Frankly, the food wasn't tasty and the wine was boring. The service was completely impersonal and almost robotic. I would avoid this place at all costs, there are too many really good restaurants in Rome",got tasting menu wine pairing frankly food tasty wine boring service completely impersonal almost robotic would avoid place cost many really good restaurant rome,0.4,0,0,"Expensive mediocre food and service We got the Tasting Menu and wine pairing. Frankly, the food wasn't tasty and the wine was boring. The service was completely impersonal and almost robotic. I would avoid this place at all costs, there are too many really good restaurants in Rome",-0.3892,Negative,4
France,The Frog at Bercy Village,Negative,all around awful,May 2019 •,"My wife and I booked well in advance based on TA reviews. We were seated as we arrived and the interior was wonderful. We each ordered the pumpkin flower stuffed with cheese. They arrived about 30 minutes later stone cold and tasted like hard potato chips stuffed with a glob of cheese. We ate about 20% and told the waitress, who never came back to check, when she came to clear the plates that is was awful. She argued with us saying""well, that is how we make it."" About another 30 minutes passed and our second course arrive, again stone cold-it was a pasta dish that was way under cooked, not just al dente. We did not eat more than a few bites but sat there for about 20 minutes until someone came by to clear the plates-we told her that the food was not edible and asked for our waitress--after sitting for about 10-15 more minutes we decided to get up an leave-the waitress never appeared until we started to walk out and then she said our main course was ready. This was 2 hours after we arrived. We paid for the first two course even though a classy restaurant would not have charged at all, and walked out. The waitress was rude and the food awful and the service even worse.",wife booked well advance based ta review seated arrived interior wonderful ordered pumpkin flower stuffed cheese arrived minute later stone cold tasted like hard potato chip stuffed glob cheese ate told waitress never came back check came clear plate awful argued u saying well make another minute passed second course arrive stone pasta dish way cooked al dente eat bite sat minute someone came clear told food edible asked waitress sitting minute decided get waitress never appeared started walk said main course ready hour arrived paid first two course even though classy restaurant would charged walked waitress rude food awful service even worse,0.3333333333333333,0,1,"all around awful My wife and I booked well in advance based on TA reviews. We were seated as we arrived and the interior was wonderful. We each ordered the pumpkin flower stuffed with cheese. They arrived about 30 minutes later stone cold and tasted like hard potato chips stuffed with a glob of cheese. We ate about 20% and told the waitress, who never came back to check, when she came to clear the plates that is was awful. She argued with us saying""well, that is how we make it."" About another 30 minutes passed and our second course arrive, again stone cold-it was a pasta dish that was way under cooked, not just al dente. We did not eat more than a few bites but sat there for about 20 minutes until someone came by to clear the plates-we told her that the food was not edible and asked for our waitress--after sitting for about 10-15 more minutes we decided to get up an leave-the waitress never appeared until we started to walk out and then she said our main course was ready. This was 2 hours after we arrived. We paid for the first two course even though a classy restaurant would not have charged at all, and walked out. The waitress was rude and the food awful and the service even worse.",-0.0675,Negative,3
